07/Aug/2003,26318
08/Aug/2003,19996
09/Aug/2003,11913
10/Aug/2003,10208
11/Aug/2003,13119
12/Aug/2003,13173
13/Aug/2003,15714
14/Aug/2003,17884
15/Aug/2003,15559
16/Aug/2003,10495
17/Aug/2003,10520
18/Aug/2003,14553
19/Aug/2003,13295
20/Aug/2003,12643
21/Aug/2003,183658
22/Aug/2003,75370
23/Aug/2003,23221
24/Aug/2003,16147
25/Aug/2003,33833
26/Aug/2003,40833
27/Aug/2003,35454
28/Aug/2003,29095
29/Aug/2003,25877
30/Aug/2003,22286
31/Aug/2003,19727
01/Sep/2003,18801
02/Sep/2003,20554
03/Sep/2003,18574
04/Sep/2003,19924
05/Sep/2003,21104
06/Sep/2003,13436
07/Sep/2003,18279
08/Sep/2003,17456
09/Sep/2003,12943
10/Sep/2003,12829
11/Sep/2003,12207
12/Sep/2003,13478
13/Sep/2003,10373
14/Sep/2003,10609
15/Sep/2003,11823
16/Sep/2003,10761
17/Sep/2003,12721
18/Sep/2003,11314
19/Sep/2003,12102
20/Sep/2003,9670
21/Sep/2003,9407
22/Sep/2003,10837
23/Sep/2003,11255
24/Sep/2003,10494
25/Sep/2003,11137
26/Sep/2003,10404
27/Sep/2003,8301
28/Sep/2003,9404
29/Sep/2003,9576
30/Sep/2003,9564
01/Oct/2003,8674
02/Oct/2003,9046
03/Oct/2003,8842
04/Oct/2003,7584
05/Oct/2003,6709
06/Oct/2003,9084
07/Oct/2003,9655
08/Oct/2003,8907
09/Oct/2003,9727
10/Oct/2003,14458
11/Oct/2003,11177
12/Oct/2003,13274
13/Oct/2003,10113
14/Oct/2003,9287
15/Oct/2003,9614
16/Oct/2003,11304
17/Oct/2003,16283
18/Oct/2003,11186
19/Oct/2003,9643
20/Oct/2003,14944
21/Oct/2003,13103
22/Oct/2003,13696
23/Oct/2003,11831
24/Oct/2003,11433
25/Oct/2003,9163
26/Oct/2003,10366
27/Oct/2003,12071
28/Oct/2003,12200
29/Oct/2003,11221
30/Oct/2003,11666
31/Oct/2003,11237
01/Nov/2003,10293
02/Nov/2003,9597
03/Nov/2003,13384
04/Nov/2003,12813
05/Nov/2003,10543
06/Nov/2003,11292
07/Nov/2003,11142
08/Nov/2003,9006
09/Nov/2003,9335
10/Nov/2003,11924
11/Nov/2003,11092
12/Nov/2003,12946
13/Nov/2003,12148
14/Nov/2003,11864
15/Nov/2003,9797
16/Nov/2003,9992
17/Nov/2003,12869
18/Nov/2003,18549
19/Nov/2003,22840
20/Nov/2003,16245
21/Nov/2003,14966
22/Nov/2003,13073
23/Nov/2003,11178
24/Nov/2003,13790
25/Nov/2003,14044
26/Nov/2003,14611
